# Precomputed monotone cubic spline for Pb photon flux
# Representation: log(xgamma) = c0 + c1*dx + c2*dx^2 + c3*dx^3
# where dx = log(x) - log(x_left), valid on [x_left, x_right)
# columns: x_left x_right log_x_left c0 c1 c2 c3
# source: pb_xgamma_table.dat
1.0049860200000001e-08 1.0051711700000000e-08 -1.8415707112985839e+01 7.0980831164715203e+00 -3.5901688908509079e-04 8.3639673513402103e-05 -2.8589662303393426e-01
1.0051711700000000e-08 1.0053563500000000e-08 -1.8415522898535901e+01 7.0980830503364727e+00 -3.5901517948665087e-04 -2.1671943058190665e-05 -1.1815648469791170e-04
1.0053563500000000e-08 1.0055415600000000e-08 -1.8415338688174508e+01 7.0980829842014206e+00 -3.5902317590795062e-04 -2.1694530341125066e-05 -1.1807183090725172e-04
1.0055415600000000e-08 1.0057268000000000e-08 -1.8415154481905653e+01 7.0980829180663640e+00 -3.5903118046415040e-04 -7.4313359905525919e-05 2.8541749839819874e-01
1.0057268000000000e-08 1.0059120800000000e-08 -1.8414970279733325e+01 7.0980828519313031e+00 -3.5902950480464407e-04 3.0885469377297385e-05 -2.7908810375398076e-04
1.0059120800000000e-08 1.0060974000000000e-08 -1.8414786071720282e+01 7.0980827857962376e+00 -3.5901815451330093e-04 8.3399325901896648e-05 -2.8563704972675419e-01
1.0060974000000000e-08 1.0062827500000000e-08 -1.8414601857875997e+01 7.0980827196611678e+00 -3.5901650694984639e-04 -2.1829474682007707e-05 -4.6751451973224899e-05
1.0062827500000000e-08 1.0064681300000000e-08 -1.8414417648147506e+01 7.0980826535260935e+00 -3.5902455411233745e-04 -7.4354255389201364e-05 2.8504420364739730e-01
1.0064681300000000e-08 1.0066535499999999e-08 -1.8414233442538787e+01 7.0980825873910156e+00 -3.5902293094549947e-04 8.3222680308485419e-05 -2.8535181549637695e-01
1.0066535499999999e-08 1.0068390000000000e-08 -1.8414049231119911e+01 7.0980825212559324e+00 -3.5902131906386621e-04 -7.4394239226608324e-05 2.8492886761728892e-01
1.0068390000000000e-08 1.0070244900000000e-08 -1.8413865023832404e+01 7.0980824551208457e+00 -3.5901972208927702e-04 8.3120413576268627e-05 -2.8523655938291848e-01
1.0070244900000000e-08 1.0072100100000000e-08 -1.8413680810749991e+01 7.0980823889857536e+00 -3.5901813639969981e-04 -2.1934358905244673e-05 -1.8817657920761191e-04
1.0072100100000000e-08 1.0073955600000000e-08 -1.8413496601810543e+01 7.0980823228506580e+00 -3.5902623656583276e-04 -7.4476756850213926e-05 2.8485818704751431e-01
1.0073955600000000e-08 1.0075811500000000e-08 -1.8413312397018014e+01 7.0980822567155579e+00 -3.5902467760087872e-04 8.2983515030287910e-05 -2.8509425692492535e-01
1.0075811500000000e-08 1.0077667699999999e-08 -1.8413128186451605e+01 7.0980821905804525e+00 -3.5902312748620159e-04 -7.4503633458033561e-05 2.8474345224898689e-01
1.0077667699999999e-08 1.0079524300000000e-08 -1.8412943980043686e+01 7.0980821244453436e+00 -3.5902158983451533e-04 8.2920711186791816e-05 -2.8512117518570440e-01
1.0079524300000000e-08 1.0081381200000000e-08 -1.8412759767877105e+01 7.0980820583102302e+00 -3.5902006583729220e-04 -2.2104155930418629e-05 -1.1697631368289942e-04
